shop_id,shop_postcode,warehouse_postcode,distance_km
630,DE74,DE74,0.0
631,DE75,DE75,0.0
632,DG1,DG1,0.0
633,DG10,DG10,0.0
634,DG11,DG11,0.0
635,DG12,DG12,0.0
636,DG13,DG13,0.0
637,DG14,DG14,0.0
638,DG16,DG16,0.0
639,DG2,DG2,0.0
640,DG3,DG3,0.0
641,DG4,DG4,0.0
642,DG5,DG5,0.0
643,DG6,DG6,0.0
644,DG7,DG7,0.0
645,DG8,DG8,0.0
646,DG9,DG9,0.0
647,DH1,DH1,0.0
648,DH2,DH2,0.0
649,DH3,DH3,0.0
650,DH4,DH4,0.0
651,DH5,DH5,0.0
652,DH6,DH6,0.0
653,DH7,DH7,0.0
654,DH8,DH8,0.0
655,DH9,DH9,0.0
656,DL1,DL1,0.0
657,DL10,DL10,0.0
658,DL11,DL11,0.0
659,DL12,DL12,0.0
660,DL13,DL13,0.0
661,DL14,DL14,0.0
662,DL15,DL15,0.0
663,DL16,DL16,0.0
664,DL17,DL17,0.0
665,DL2,DL2,0.0
666,DL3,DL3,0.0
667,DL4,DL4,0.0
668,DL5,DL5,0.0
669,DL6,DL6,0.0
670,DL7,DL7,0.0
671,DL8,DL8,0.0
672,DL9,DL9,0.0
673,DN1,DN1,0.0
674,DN10,DN10,0.0
675,DN11,DN11,0.0
676,DN12,DN12,0.0
677,DN14,DN14,0.0
678,DN15,DN15,0.0
679,DN16,DN16,0.0
680,DN17,DN17,0.0
681,DN18,DN18,0.0
682,DN19,DN19,0.0
683,DN2,DN2,0.0
684,DN20,DN20,0.0
685,DN21,DN21,0.0
686,DN22,DN22,0.0
687,DN3,DN3,0.0
688,DN31,DN31,0.0
689,DN32,DN32,0.0
690,DN33,DN33,0.0
691,DN34,DN34,0.0
692,DN35,DN35,0.0
693,DN36,DN36,0.0
694,DN37,DN37,0.0
695,DN38,DN38,0.0
696,DN39,DN39,0.0
697,DN4,DN4,0.0
698,DN40,DN40,0.0
699,DN41,DN41,0.0
700,DN5,DN5,0.0
701,DN6,DN6,0.0
702,DN7,DN7,0.0
703,DN8,DN8,0.0
704,DN9,DN9,0.0
705,DT1,DT1,0.0
706,DT10,DT10,0.0
707,DT11,DT11,0.0
708,DT2,DT2,0.0
709,DT3,DT3,0.0
710,DT4,DT4,0.0
711,DT5,DT5,0.0
712,DT6,DT6,0.0
713,DT7,DT7,0.0
714,DT8,DT8,0.0
715,DT9,DT9,0.0
716,DY1,DY1,0.0
717,DY10,DY10,0.0
718,DY11,DY11,0.0
719,DY12,DY12,0.0
720,DY13,DY13,0.0
721,DY14,DY14,0.0
722,DY2,DY2,0.0
723,DY3,DY3,0.0
724,DY4,DY4,0.0
725,DY5,DY5,0.0
726,DY6,DY6,0.0
727,DY7,DY7,0.0
728,DY8,DY8,0.0
729,DY9,DY9,0.0
730,E1,E1,0.0
731,E10,E10,0.0
732,E11,E11,0.0
733,E12,E12,0.0
734,E13,E13,0.0
735,E14,E14,0.0
736,E15,E15,0.0
737,E16,E16,0.0
738,E17,E17,0.0
739,E18,E18,0.0
740,E1W,E1W,0.0
741,E2,E2,0.0
742,E3,E3,0.0
743,E4,E4,0.0
744,E5,E5,0.0
745,E6,E6,0.0
746,E7,E7,0.0
747,E8,E8,0.0
748,E9,E9,0.0
749,EC1,EC1,0.0
750,EC1A,EC1A,0.0
751,EC1M,EC1M,0.0
752,EC1N,EC1N,0.0
753,EC1R,EC1R,0.0
754,EC1V,EC1V,0.0
755,EC1Y,EC1Y,0.0
756,EC2,EC2,0.0
757,EC2A,EC2A,0.0
758,EC2M,EC2M,0.0
759,EC2N,EC2N,0.0
760,EC2P,EC2P,0.0
761,EC2R,EC2R,0.0
762,EC2V,EC2V,0.0
763,EC2Y,EC2Y,0.0
764,EC3,EC3,0.0
765,EC3A,EC3A,0.0
766,EC3M,EC3M,0.0
767,EC3N,EC3N,0.0
768,EC3P,EC3P,0.0
769,EC3R,EC3R,0.0
770,EC3V,EC3V,0.0
771,EC4,EC4,0.0
772,EC4A,EC4A,0.0
773,EC4M,EC4,0.0
774,EC4N,EC4N,0.0
775,EC4R,EC4R,0.0
776,EC4V,EC4V,0.0
777,EC4Y,EC4Y,0.0
778,EH1,EH1,0.0
779,EH10,EH10,0.0
780,EH11,EH11,0.0
781,EH12,EH12,0.0
782,EH13,EH13,0.0
783,EH14,EH14,0.0
784,EH15,EH15,0.0
785,EH16,EH16,0.0
786,EH17,EH17,0.0
787,EH18,EH18,0.0
788,EH19,EH19,0.0
789,EH2,EH2,0.0
790,EH20,EH20,0.0
791,EH21,EH21,0.0
792,EH22,EH22,0.0
793,EH23,EH23,0.0
794,EH24,EH24,0.0
795,EH25,EH25,0.0
796,EH26,EH26,0.0
797,EH27,EH27,0.0
798,EH28,EH28,0.0
799,EH29,EH29,0.0
800,EH3,EH3,0.0
801,EH30,EH30,0.0
802,EH31,EH31,0.0
803,EH32,EH32,0.0
804,EH33,EH33,0.0
805,EH34,EH34,0.0
806,EH35,EH35,0.0
807,EH36,EH36,0.0
808,EH37,EH37,0.0
809,EH38,EH38,0.0
810,EH39,EH39,0.0
811,EH4,EH4,0.0
812,EH40,EH40,0.0
813,EH41,EH41,0.0
814,EH42,EH42,0.0
815,EH43,EH43,0.0
816,EH44,EH44,0.0
817,EH45,EH45,0.0
818,EH46,EH46,0.0
819,EH47,EH47,0.0
820,EH48,EH48,0.0
821,EH49,EH49,0.0
822,EH5,EH5,0.0
823,EH51,EH51,0.0
824,EH52,EH52,0.0
825,EH53,EH53,0.0
826,EH54,EH54,0.0
827,EH55,EH55,0.0
828,EH6,EH6,0.0
829,EH7,EH7,0.0
830,EH8,EH8,0.0
831,EH9,EH9,0.0
832,EN1,EN1,0.0
833,EN10,EN10,0.0
834,EN11,EN11,0.0
835,EN2,EN2,0.0
836,EN3,EN3,0.0
837,EN4,EN4,0.0
838,EN5,EN5,0.0
839,EN6,EN6,0.0
840,EN7,EN7,0.0
841,EN8,EN8,0.0
842,EN9,EN9,0.0
843,EX1,EX1,0.0
844,EX10,EX10,0.0
845,EX11,EX11,0.0
846,EX12,EX12,0.0
847,EX13,EX13,0.0
848,EX14,EX14,0.0
849,EX15,EX15,0.0
850,EX16,EX16,0.0
851,EX17,EX17,0.0
852,EX18,EX18,0.0
853,EX19,EX19,0.0
854,EX2,EX2,0.0
855,EX20,EX20,0.0
856,EX21,EX21,0.0
857,EX22,EX22,0.0
858,EX23,EX23,0.0
859,EX24,EX24,0.0
860,EX3,EX3,0.0
861,EX31,EX31,0.0
862,EX32,EX32,0.0
863,EX33,EX33,0.0
864,EX34,EX34,0.0
865,EX35,EX35,0.0
866,EX36,EX36,0.0
867,EX37,EX37,0.0
868,EX38,EX38,0.0
869,EX39,EX39,0.0
870,EX4,EX4,0.0
871,EX5,EX5,0.0
872,EX6,EX6,0.0
873,EX7,EX7,0.0
874,EX8,EX8,0.0
875,EX9,EX9,0.0
876,FK1,FK1,0.0
877,FK10,FK10,0.0
878,FK11,FK11,0.0
879,FK12,FK12,0.0
880,FK13,FK13,0.0
881,FK14,FK14,0.0
882,FK15,FK15,0.0
883,FK16,FK16,0.0
884,FK17,FK17,0.0
885,FK18,FK18,0.0
886,FK19,FK19,0.0
887,FK2,FK2,0.0
888,FK20,FK20,0.0
889,FK21,FK21,0.0
890,FK3,FK3,0.0
891,FK4,FK4,0.0
892,FK5,FK5,0.0
893,FK6,FK6,0.0
894,FK7,FK7,0.0
895,FK8,FK8,0.0
896,FK9,FK9,0.0
897,FY1,FY1,0.0
898,FY2,FY2,0.0
899,FY3,FY3,0.0
900,FY4,FY4,0.0
901,FY5,FY5,0.0
902,FY6,FY6,0.0
903,FY7,FY7,0.0
904,FY8,FY8,0.0
905,G1,G1,0.0
906,G11,G11,0.0
907,G12,G12,0.0
908,G13,G13,0.0
909,G14,G14,0.0
910,G15,G15,0.0
911,G2,G2,0.0
912,G20,G20,0.0
913,G21,G21,0.0
914,G22,G22,0.0
915,G23,G23,0.0
916,G3,G3,0.0
917,G31,G31,0.0
918,G32,G32,0.0
919,G33,G33,0.0
920,G34,G34,0.0
921,G4,G4,0.0
922,G40,G40,0.0
923,G41,G41,0.0
924,G42,G42,0.0
925,G43,G43,0.0
926,G44,G44,0.0
927,G45,G45,0.0
928,G46,G46,0.0
929,G5,G5,0.0
930,G51,G51,0.0
931,G52,G52,0.0
932,G53,G53,0.0
933,G60,G60,0.0
934,G61,G61,0.0
935,G62,G62,0.0
936,G63,G63,0.0
937,G64,G64,0.0
938,G65,G65,0.0
939,G66,G66,0.0
940,G67,G67,0.0
941,G68,G68,0.0
942,G69,G69,0.0
943,G71,G71,0.0
944,G72,G72,0.0
945,G73,G73,0.0
946,G74,G74,0.0
947,G76,G76,0.0
948,G77,G77,0.0
949,G78,G78,0.0
950,G81,G81,0.0
951,G82,G82,0.0
952,G83,G83,0.0
953,G84,G84,0.0
954,GL1,GL1,0.0
955,GL10,GL10,0.0
956,GL11,GL11,0.0
957,GL12,GL12,0.0
958,GL13,GL13,0.0
959,GL14,GL14,0.0
960,GL15,GL15,0.0
961,GL16,GL16,0.0
962,GL17,GL17,0.0
963,GL18,GL18,0.0
964,GL19,GL19,0.0
965,GL2,GL2,0.0
966,GL20,GL20,0.0
967,GL3,GL3,0.0
968,GL4,GL4,0.0
969,GL5,GL5,0.0
970,GL50,GL50,0.0
971,GL51,GL51,0.0
972,GL52,GL52,0.0
973,GL53,GL53,0.0
974,GL54,GL54,0.0
975,GL55,GL55,0.0
976,GL56,GL56,0.0
977,GL6,GL6,0.0
978,GL7,GL7,0.0
979,GL8,GL8,0.0
980,GL9,GL9,0.0
981,GU1,GU1,0.0
982,GU10,GU10,0.0
983,GU11,GU11,0.0
984,GU12,GU12,0.0
985,GU13,GU13,0.0
986,GU14,GU14,0.0
987,GU15,GU15,0.0
988,GU16,GU16,0.0
989,GU17,GU17,0.0
990,GU18,GU18,0.0
991,GU19,GU19,0.0
992,GU2,GU2,0.0
993,GU20,GU20,0.0
994,GU21,GU21,0.0
995,GU22,GU22,0.0
996,GU23,GU23,0.0
997,GU24,GU24,0.0
998,GU25,GU25,0.0
999,GU26,GU26,0.0
1000,GU27,GU27,0.0
1001,GU28,GU28,0.0
1002,GU29,GU29,0.0
1003,GU3,GU3,0.0
1004,GU30,GU30,0.0
1005,GU31,GU31,0.0
1006,GU32,GU32,0.0
1007,GU33,GU33,0.0
1008,GU34,GU34,0.0
1009,GU35,GU35,0.0
